species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,species_class,group_living,brain_mass_g,adult_body_mass_g,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk,HAQER_sequence_similarity,HAR_sequence_similarity
Inia_geoffrensis,Amazon river dolphin,high_confidence_vocal_learner,1,Non-primates,0,633.645,92003.5,6799.99,121430.76,0.946815578132602,50.86677042992304,86.27998419844619
Lipotes_vexillifer,Yangtze river dolphin,suspected_vocal_learner,1,Non-primates,0,558,180000,NA,NA,NA,50.668347657631344,86.40822954359993
Delphinapterus_leucas,Beluga whale,high_confidence_vocal_learner,1,Non-primates,1,1921,498250,57000,1381640.73,1.0382559578575956,51.0147337389832,86.81089984271773
Monodon_monoceros,Narwhal,suspected_vocal_learner,1,Non-primates,1,2993.7,1578329.998,79999.99,938126.44,1.243126502749733,50.934603634857346,86.70592955465186
Neophocaena_asiaeorientalis,Narrow-ridged finless porpoise,suspected_vocal_learner,1,Non-primates,NA,NA,NA,NA,NA,NA,50.76285337720422,86.40723653260484
Phocoena_phocoena,Harbor porpoise,suspected_vocal_learner,1,Non-primates,0,1735,142430,8892.16,52730.93,1.310650095784133,50.97275787057918,86.56802060420988
Kogia_breviceps,Pygmy sperm whale,suspected_vocal_learner,1,Non-primates,1,1019,334000,82000,431500,1.4682307344618797,50.79445207123905,86.66568753321077
Mesoplodon_bidens,Sowerby’s beaked whale,suspected_vocal_learner,1,Non-primates,0,NA,NA,NA,NA,NA,51.073987203420934,86.57327904262313
Ziphius_cavirostris,Cuvier's beaked whale,high_confidence_vocal_learner,1,Non-primates,0,2004,2273000.001,NA,NA,NA,50.97160132920347,86.60374308648827
Ailurus_fulgens,Lesser panda,non_vocal_learner,0,Non-primates,0,46.8,5590,104.04,5170.08,0.01812657328690696,47.771566424403474,87.7498294246908
Lycaon_pictus,African hunting dog,non_vocal_learner,0,Non-primates,0,129,22050,297.45,21999.99,0.13448973447154286,44.68707988395953,87.6597393805505
Vulpes_lagopus,Arctic fox,non_vocal_learner,0,Non-primates,0,35.5,3415,69.17,3584.37,-0.09461612862161813,47.054926380586814,88.05931398003273
Spilogale_gracilis,Western spotted skunk,non_vocal_learner,0,Non-primates,0,6.81,420,NA,NA,NA,47.031326561593474,86.23856210753131
Pteronura_brasiliensis,Giant otter,non_vocal_learner,0,Non-primates,0,85.6,24000,204.25,26000,-0.06986234257784796,47.551292315413384,86.94201827904969
Mellivora_capensis,Honey badger,non_vocal_learner,0,Non-primates,0,72.97,8080,210,8999.99,0.21246003167365515,47.60626978928654,86.94937035862253
Mustela_putorius,European polecat,non_vocal_learner,0,Non-primates,NA,7.87,915,9.5,975.55,-0.9350254852923058,46.757001893143894,86.86470452382629
Odobenus_rosmarus,Walrus,high_confidence_vocal_learner,1,Non-primates,NA,1410.25,1022225,59090.9,1042996.25,1.119027317095561,49.35543440028139,87.74847850303647
Zalophus_californianus,California sea lion,high_confidence_vocal_learner,1,Non-primates,1,405,91000,6347.89,137194.86,0.8868645963475844,49.31850162190985,87.52675706786621
Leptonychotes_weddellii,Weddell seal,high_confidence_vocal_learner,1,Non-primates,1,564.17,378666.67,27395.84,400000,1.1160051649207725,49.071907005141775,87.71631774613525
Mirounga_angustirostris,Northern elephant seal,high_confidence_vocal_learner,1,Non-primates,1,670,700000,34381.77,1112390.81,0.9313007020116651,49.44261279272328,87.64743077306146
Neomonachus_schauinslandi,Hawaiian monk seal,suspected_vocal_learner,1,Non-primates,0,NA,NA,NA,NA,NA,49.55269729976902,87.85318314800149
Ailuropoda_melanoleuca,Giant panda,non_vocal_learner,0,Non-primates,0,205,87500,104.39,117999.99,-0.6222153186135295,48.91275206900571,87.96667816184005
Ursus_maritimus,Polar bear,non_vocal_learner,0,Non-primates,0,507,317000,670.48,371703.81,-0.13973644566724625,48.42453365486914,87.88390299540337
Cryptoprocta_ferox,Fossa,non_vocal_learner,0,Non-primates,0,32.1,6775,99.96,9500,-0.1602687931506512,48.65421831991103,87.67707696782142
Acinonyx_jubatus,Cheetah,non_vocal_learner,0,Non-primates,0,111,43000,441.66,50577.92,0.10237374855796394,48.518088150946085,87.56515934384173
Felis_catus,Domestic cat,non_vocal_learner,0,Non-primates,NA,25.6,3300,113,2884.8,0.2392846690093295,48.569641281672226,87.593719794143
Felis_nigripes,Black-footed cat,non_vocal_learner,0,Non-primates,0,20.1,1100,72,1362.77,0.23577539835368913,48.78014397120576,87.39885190342326
Puma_concolor,Puma,non_vocal_learner,0,Non-primates,0,154,54432,409.87,53954.05,0.05743189960451798,47.891492422250906,87.15641785363901
Panthera_onca,Jaguar,non_vocal_learner,0,Non-primates,0,149,77700,817.3,83943.09,0.2309626159109292,48.921231879839326,87.89281058122668
Panthera_pardus,Leopard,non_vocal_learner,0,Non-primates,0,135,48000,553.39,52399.99,0.18582340171656475,48.887196584128056,87.94957136310934
Panthera_tigris,Tiger,non_vocal_learner,0,Non-primates,NA,269.73,195000,1313.5,161914.66,0.26254207184389067,48.60219127339202,87.7894840166214
Helogale_parvula,Dwarf mongoose,non_vocal_learner,0,Non-primates,0,4.8,267,NA,NA,NA,47.48076269809621,86.95623045272869
Mungos_mungo,South african banded mongoose,non_vocal_learner,0,Non-primates,1,10.5,860,24.2,1260,-0.4090785964133056,47.426184782640824,86.9697415286083
Suricata_suricatta,Meerkat,non_vocal_learner,0,Non-primates,0,10.3,725,30.5,729.99,-0.09134594305407703,47.06513979773944,86.69562732209202
Hyaena_hyaena,Striped hyena,non_vocal_learner,0,Non-primates,0,97.5,36300,653.23,35070.51,0.35407578081790936,48.22875077206784,87.44180887539025
Paradoxurus_hermaphroditus,Asian palm civet,non_vocal_learner,0,Non-primates,0,25.95,2773.5,92.07,3200,0.09373559798899136,48.41168996188056,87.69212944453601
Macroglossus_sobrinus,Long-tongued fruit bat,suspected_vocal_learner,1,Non-primates,NA,0.692,21.7,NA,NA,NA,48.53700572746694,84.57874978679575
Eidolon_helvum,Straw-colored fruit bat,suspected_vocal_learner,1,Non-primates,1,4.4325,266.75,48.28,254.61,0.7089679358288236,49.291539125789186,85.40295943543894
Pteropus_alecto,Black flying fox,high_confidence_vocal_learner,1,Non-primates,1,7.03967,595,NA,NA,NA,48.84538474356838,85.32573675420487
Pteropus_vampyrus,Large flying fox,high_confidence_vocal_learner,1,Non-primates,1,9.654,1078.07,NA,NA,NA,48.935001944679584,85.11474119137647
Rousettus_aegyptiacus,Egyptian fruit bat,high_confidence_vocal_learner,1,Non-primates,1,2.26075,129.62,19.13,134,0.2798919416453877,48.127975549068395,85.0692878284546
Craseonycteris_thonglongyai,Bumblebee bat,suspected_vocal_learner,1,Non-primates,0,0.087,2.56,NA,NA,NA,47.58716555259027,82.37197488536628
Hipposideros_armiger,Great roundleaf bat,high_confidence_vocal_learner,1,Non-primates,NA,0.8,56,NA,NA,NA,50.92246889554048,85.41021387047356
Hipposideros_galeritus,Cantor's leaf-nosed bat,high_confidence_vocal_learner,1,Non-primates,0,0.279,10.4,NA,NA,NA,48.681591635956295,84.96652085806286
Megaderma_lyra,Greater false vampire bat,high_confidence_vocal_learner,1,Non-primates,NA,0.8935,35.3,10.22,39.27,0.4152577442038914,47.6753160068416,82.63299482811678
Tadarida_brasiliensis,Mexican free-tailed bat,high_confidence_vocal_learner,1,Non-primates,1,NA,NA,3.19,12.61,-0.35900025904435456,49.28010731979439,84.68610198590224
Mormoops_blainvillei,Ghost-faced bat,suspected_vocal_learner,1,Non-primates,NA,NA,NA,NA,NA,NA,47.9948108578046,84.36360810817514
Pteronotus_parnellii,Parnell's mustached bat,high_confidence_vocal_learner,1,Non-primates,NA,0.5315,19.1,NA,NA,NA,47.57882776964722,84.09790791301732
