IID,f_HAQERs,f_HARs,f_RAND,f_HAQERs_matched
sample332,-0.2862,-0.003832,-0.09732,0.01941
sample333,-0.2521,0.07289,-0.05759,0.01661
sample334,-0.2264,-0.08056,-0.01303,0.03541
sample335,-0.2752,-0.03367,-0.009354,0.005409
sample336,-0.287,-0.05285,-0.01597,-0.01147
sample337,-0.2867,-0.06777,-0.04624,-0.00685
sample338,-0.2884,-0.08056,-0.01975,-0.02965
sample339,-0.2613,-0.003832,-0.0641,0.02618
sample34,-0.3263,-0.06564,0.01809,-0.004978
sample340,-0.2444,0.01217,-0.02354,0.02851
sample341,-0.2483,-0.03154,-0.03867,-0.01277
sample342,-0.2536,-0.03154,-0.04624,0.01969
sample343,-0.2459,-0.0699,-0.06705,2.156e-4
sample344,-0.2605,-0.01283,-0.06705,0.05215
sample347,-0.2735,-0.09795,0.002594,0.06777
sample348,-0.2702,0.03453,-0.05948,0.02878
sample349,-0.2527,-0.07416,-0.09061,0.005409
sample35,-0.2606,-0.06138,-0.07651,-0.008194
sample350,-0.2609,-0.02514,-0.01408,0.04129
sample351,-0.2194,-0.03793,-0.04334,-0.006277
sample354,-0.2586,-0.05347,-0.0468,-0.001413
sample355,-0.2756,-0.09121,0.0143,-0.01147
sample357,-0.2432,-0.04859,-0.006508,-0.005244
sample358,-0.2438,0.02787,-0.0178,0.0429
sample359,-0.3103,0.02387,-0.06137,0.03397
sample36,-0.2912,0.04306,-0.02164,-0.03224
sample360,-0.2354,-0.02088,-0.06516,0.02348
sample361,-0.2629,0.004693,-0.01786,-0.06793
sample362,-0.3178,-0.04859,-0.04624,-0.02865
sample363,-0.2823,-0.06564,-0.006508,-0.01277
sample364,-0.2792,-0.05711,-0.002724,0.04177
sample365,-0.2809,-0.04646,0.008628,0.006708
sample366,-0.3096,-0.08056,-0.02354,0.002812
sample367,-0.3052,-0.03154,-0.02354,-0.01017
sample368,-0.2662,-0.001701,-0.05002,0.05683
sample369,-0.2631,-0.01449,-0.02164,0.04566
sample37,-0.2667,-0.04757,-0.01786,0.01839
sample370,-0.3088,-0.02514,-0.06327,-0.02445
sample371,-0.2906,-0.04006,-0.03748,-0.02835
sample374,-0.2602,-0.1019,-0.02732,0.05057
sample375,-0.2667,-0.02941,0.03322,0.0041660000000000004
sample376,-0.2879,-0.03154,-0.03759,-0.03354
sample377,-0.299,0.06224,-0.03299,-0.001083
sample378,-0.3371,-0.001701,-0.1068,-0.006549
sample379,-0.3308,0.01961,-0.06137,-0.01407
sample38,-0.298,-0.009081,-0.103,0.01543
sample380,-0.2943,0.002562,-0.02164,0.006142
sample381,-0.2709,0.004693,0.02376,-0.03614
sample382,-0.256,0.01535,0.002071,-0.02978
sample383,-0.2877,0.01039,0.004019,-0.03323
sample384,-0.3342,-0.09761,-0.006508,-0.03484
sample386,-0.2981,-0.0422,-0.01597,-0.02473
sample387,-0.2546,-0.02301,-0.03281,0.02748
sample388,-0.3003,-0.04089,0.01545,0.04436
sample389,-0.3244,-0.06351,0.006736,-0.04133
sample39,-0.3093,-0.02941,-0.06516,0.009305
sample390,-0.2714,-0.009096,0.02582,-0.0194
sample391,-0.3138,-0.06777,-0.04138,-0.04783
sample392,-0.3034,-0.01662,0.004844,0.0158
sample393,-0.2681,-0.08512,-0.03011,-0.003944
sample397,-0.2913,-0.07083,0.006037,0.006708
sample4,-0.2745,-0.01449,-0.01784,0.01839
sample40,-0.3014,-0.02941,-0.05002,-0.02726
sample401,-0.3006,-0.03154,-0.08219,-0.02575
sample403,-0.3019,4.305e-4,0.01019,0.04306
sample404,-0.3002,-0.05072,-0.05759,-0.03484
sample405,-0.3098,0.03666,-0.05435,0.0119
sample407,-0.2774,-0.05072,-0.01975,0.009305
sample41,-0.2724,-0.0358,-0.04056,-0.001083
sample411,-0.2826,-0.0763,-0.05381,-0.01174
sample413,-0.3141,-0.04646,-0.02003,0.002812
sample414,-0.2892,-0.01236,0.01052,0.0106
sample415,-0.2812,-0.02728,-0.02583,-0.01666
sample416,-0.2915,-0.06777,0.00106,0.02229
sample417,-0.3202,-0.04433,-0.0084,0.03614
sample42,-0.3037,-0.07203,-0.06327,-0.01407
sample43,-0.2715,-0.02728,-0.02543,-0.01695
sample44,-0.3207,-0.008095,-0.04079,0.001514
sample45,-0.2848,-0.0422,-0.09921,-0.02965
sample46,-0.3048,-0.02301,0.002952,-0.02056
sample47,-0.2881,-0.0422,-0.04317,-6.281e-4
sample48,-0.2863,-0.01628,-0.04283,0.04474
sample5,-0.2533,0.002562,0.01241,-0.01926
sample50,-0.305,0.006824,-0.07307,0.02878
sample51,-0.2658,-0.01023,-0.004616,-0.008873
sample52,-0.2682,-0.08908,-0.03902,0.006386
sample53,-0.2646,0.02601,-0.03208,-0.01042
sample54,-0.2547,-0.001954,-0.1002,0.006708
sample55,-0.281,-0.003832,-0.07462,0.03268
sample56,-0.2523,-0.05925,-0.03,0.02314
sample57,-0.2718,-0.09863,-0.04813,-0.00368
sample58,-0.2904,0.002562,-0.04813,-0.03354
sample59,-0.2846,-0.09335,0.05593,0.002812
sample6,-0.2315,-0.01236,-0.04624,0.04826
sample60,-0.3153,-0.06351,-0.06705,0.06903
sample61,-0.2788,-0.02301,-0.08408,-0.03744
sample62,-0.2923,4.305e-4,-0.0311,2.156e-4
sample63,-0.3083,-0.0422,-0.03867,-0.02186
sample64,-0.3066,0.006824,-0.04435,-0.01666
sample65,-0.321,4.305e-4,0.008628,-0.01017
sample66,-0.2758,-0.05711,-0.03678,0.004111
sample67,-0.3138,-0.05498,-0.1125,2.156e-4
sample68,-0.3043,-0.05711,-0.06137,-0.02705
sample69,-0.3153,-0.04646,0.004844,0.03889
sample7,-0.2962,-0.0422,0.04079,-0.02575
sample70,-0.3152,-0.07843,-0.03509,2.156e-4
sample71,-0.3205,-0.05072,-0.006508,0.01392
sample72,-0.3188,-0.08908,-0.05795,-0.00368
sample73,-0.2994,-0.04646,0.004844,0.03527
sample74,-0.2243,-0.05072,-0.03299,0.03138
sample75,-0.3275,-0.09335,0.005602,-0.01407
sample76,-0.3258,-0.003832,-0.1011,0.0171
sample77,-0.2907,0.01961,-0.04813,-0.006277
sample79,-0.2605,0.02814,-0.05759,-0.03095
sample8,-0.2639,0.004693,0.06728,-0.01537
sample80,-0.3226,-0.07203,-0.07898,0.005179
sample81,-0.2937,-0.06569,-0.07273,0.008006
sample82,-0.2918,-0.09548,-0.01975,0.03138
sample84,-0.2876,4.305e-4,-0.03678,-0.01926
sample85,-0.2626,-0.01449,0.06349,0.02359
sample86,-0.2974,-0.1296,-0.01092,0.05735
sample88,-0.2391,-0.01664,0.05335,0.01423
sample89,-0.3081,-0.04859,-0.02921,0.02359
sample9,-0.3287,4.305e-4,-0.07083,-0.02337
sample90,-0.3077,-0.05498,-0.03867,0.04047
sample91,-0.2702,-0.04433,0.01809,0.04487
sample92,-0.2876,-0.0358,-0.03867,0.04306
sample93,-0.288,-0.04433,-0.01975,-0.03614
sample94,-0.2721,0.01322,-0.0249,-0.03484
sample95,-0.2603,0.03453,-0.02354,0.03787
sample96,-0.3421,-0.03793,0.05025,0.02431
sample97,-0.3364,-0.04646,-0.04056,0.02359
sample99,-0.2732,-0.0699,-0.02543,-0.01017
