FID,IID,molecular_sex,lat,long,assessment,sample_age,sample_age_GRM_adj,cp_pgs.HAQER,cp_pgs.background,cp_pgs.matched
2758,I2450,F,51.68,-1.297,PASS,4248,1322,0.045529263694718984,0.5891703759395487,-0.07436647160949447
2759,I2452,M,52.854,-1.565,PASS,4052,1766,-0.25096529917352856,2.25276576169063,0.23571885023939157
2760,I2453,M,52.67,-0.35,PASS,4122,1967,1.2078149844200008,-0.5190968721445163,1.4057633655487551
2763,I3255,F,52.170279,0.105604,PASS,3994,2469,0.05267205660801803,1.8780732405293061,1.1031557473324278
2764,I3256,M,52.170279,0.105604,PASS,4063,1851,-0.5237233146205256,-0.5734783484090548,2.0664395618883997
2765,I4950,M,51.289876,-1.807234,PASS,4250,2339,0.1244476741938979,0.19331576296255532,0.6290265079373405
2768,I5512,F,51.24,-1.76,PASS,4250,1621,-1.475264488796033,1.5612343460203129,1.298329485729533
2769,I5513,M,51.22,-1.77,PASS,4250,1746,-0.7467607477727001,-0.34177539798963313,-0.7673981988161787
2770,I6775,M,51.121284,-3.075648,PASS,4150,2792,-0.31976860295145604,-0.5618477693832576,0.20411341201342684
2772,I1767,M,54.522812,-1.308134,PASS,4045,2036,-1.5047526502446662,2.2005854565693035,0.061348626248812446
2774,I5379,M,50.919204,-2.015441,PASS,4333,2295,1.0115922345348456,-0.3805549409796723,0.9818022857453531
2776,I2417,M,51.168023,-1.7725402,PASS,4250,4263,-0.9422206019409779,-0.07398986587543571,0.2598917886148586
2777,I2454,F,52.34,0.03,PASS,4042,3125,-0.7393705168381054,0.618794526831202,0.24595384578064128
2780,I6774,M,50.862516,-0.121506,PASS,4121,1886,0.11604773505160676,0.6126840463272286,-1.61760080235582
2782,I6680,M,55.309983,-1.553328,PASS,3671,2311,-0.840724873998196,-0.060102154222733385,1.7420298756659294
2784,I6778,F,51.147052,-1.812529,PASS,4150,2661,1.6387804664657293,-0.40461509655481204,-0.35239738645341073
2785,I12786,M,51.697969,-1.692092,PASS,4137,2488,0.8581823959331324,0.8508357116091739,-0.42061440214390616
2786,I14543,F,50.851087,-0.134783,PASS,3975,3410,0.5416431481734729,-0.25464686912124546,-0.12671037086136985
2787,I14553,M,50.815565,-0.091565,PASS,3807,2446,-1.2013566695817235,-0.12630795937357797,-1.5783976554654617
2792,I16424,F,50.539905,-4.997809,PASS,4106,3043,-1.1287581900697494,1.1687420757961393,-0.9592876713479012
2794,I18606,M,54.09805556,-0.282161111,PASS,3770,1135,-0.014546018110631356,-0.4577091085704519,0.22161653796863917
2795,I20997,M,54.162749,-3.108988,PASS,4075,4495,0.5608053294775759,-1.8467117495605985,0.9572496681019175
2797,I2457,M,51.168023,-1.7725402,PASS,4056,1928,-2.257954039271183,0.32667638432710217,0.33491170981707347
2799,I2461,F,51.13,-1.69,PASS,3975,1893,1.4481357770727135,1.4036876411538202,0.6965250302332161
2803,I2597,M,51.168023,-1.7725402,PASS,4080,1621,-0.6462208107110936,0.2959741870954128,1.4988287645739227
2806,I2602,M,51.3603,1.3405,PASS,3762,1257,-1.3662122661849376,-0.18120454096337107,-0.8556729268666909
2807,I2604,F,51.15,-1.36,PASS,4073,2341,-0.6862013733900625,-1.4476318381941322,-1.4389473978453393
2811,I2618,M,55.058,-2.147,PASS,3993,2303,-0.6450753322618146,0.04908689919676866,0.3388612691764312
2812,I5377,M,51.471197,-0.266408,PASS,3758,1621,0.5255116023707928,1.5164251865784644,-0.889461694618237
2814,I6777,M,51.147052,-1.812529,PASS,4050,2290,0.779668059627621,-0.9589726759453582,-0.5630273756964067
2815,I7570,M,52.696301,-0.34,PASS,3569,2001,-0.31117942368775414,1.293965903267288,0.11074228985604963
2816,I7573,F,52.310608,0.386227,PASS,3520,2188,-1.7753045521435658,0.3263234593496585,1.2384140917317583
2822,I12776,F,53.079803,-1.640942,PASS,3778,3317,-0.5728553255352167,0.9767265544498113,0.2593855745723697
2823,I2462,F,51.3603,1.3405,PASS,3942,1815,0.19834720191290428,-0.12066555087279902,0.09580860837502872
2837,I14534,F,50.789115,0.082351,PASS,1350,1033,0.20301344449678366,1.0383365300467104,0.08422949442871241
2838,I14536,F,50.789115,0.082351,PASS,1350,1467,0.6272446030917473,-1.8405451179224408,-1.263173071308782
2839,I14538,M,50.789115,0.082351,PASS,1350,760,0.4831373497782697,-0.9036950427512818,0.938558152769334
2840,I14541,F,50.789115,0.082351,PASS,1350,1054,-1.5583323111187577,0.7788893027681006,1.7577438374361312
2841,I14542,F,50.789115,0.082351,PASS,1350,733,-0.4290214532023021,0.1402273821076833,0.030516577514441534
2846,I16508,M,52.062352,-0.81617,PASS,1276,973,-0.07965836394678502,1.0173015332377975,0.1075943985570673
2847,I16509,M,52.062352,-0.81617,PASS,1311,1956,0.40592856299352326,-0.6025977955755243,0.5373321047390102
2848,I16510,F,52.062352,-0.81617,PASS,1324,934,-0.47440263035023506,-0.13742391449460106,0.8301661288298161
2850,I17270,F,54.594544,-1.309398,PASS,1200,998,-1.000330996167937,-0.0023821582248922052,-0.6384486746164179
2851,I17271,F,54.594544,-1.309398,PASS,1200,1040,0.7241976784475012,1.5546393960398215,0.22966728557466265
2852,I17272,M,54.594544,-1.309398,PASS,1400,1118,0.47615068667683474,-0.8697314843596071,-0.7072564975083927
2853,I17273,F,54.594544,-1.309398,PASS,1400,1434,0.9949636030486544,0.45712534545074063,0.27922188888983557
2855,I17275,F,54.594544,-1.309398,PASS,1400,1341,1.8952200950486553,-0.4043220136019004,-0.6595098108315419
2856,I17276,F,54.594544,-1.309398,PASS,1400,1507,-0.16206383838712765,-0.34201291334833656,0.45486468662910046
2857,I17277,M,54.697647,-1.181035,PASS,1200,1024,-0.7558184782985483,-1.092662807745814,-0.2467114510818258
2862,I14535,M,50.789115,0.082351,PASS,1350,1221,0.15329387641446568,0.8536663181474252,-2.1870252879818124
2872,I11587,F,54.170989,-0.605739,PASS,1450,1548,-0.15690793251463148,-0.44002590702929495,1.5614387385401955
2874,I11589,F,54.170989,-0.605739,PASS,1450,1131,-0.4410572919707787,2.665100506428901,0.7879147217354303
2875,I11590,M,54.170989,-0.605739,PASS,1450,1234,-0.5510590113795664,0.13160671686624242,-0.7263841497748403
2877,I20640,M,54.170989,-0.605739,PASS,1450,1586,-0.38385421523324004,0.3446199614055198,-0.09927042999659133
2878,I20641,M,54.170989,-0.605739,PASS,1450,1638,0.5528230549765114,-0.6404562790675532,2.4307888818667083
2881,I20644,M,54.170989,-0.605739,PASS,1450,1159,-0.704886463911881,0.9514336852640147,-0.6819611930530621
2883,I20646,M,54.170989,-0.605739,PASS,1450,1533,1.0660551653232824,0.5378488811893016,-0.10915437094555255
2884,I20649,M,54.170989,-0.605739,PASS,1450,1291,-0.3266367307121828,1.4926999537725107,-0.5207355381382655
2885,I20650,M,54.170989,-0.605739,PASS,1450,1240,1.3268731301966752,0.9610264259858621,0.8602779577229501
2886,I20652,M,54.170989,-0.605739,PASS,1450,1586,-0.6845398621270522,-0.01690807296077181,0.1351936412538274
2888,I20654,M,54.170989,-0.605739,PASS,1450,1920,-0.8562583140774591,0.24238346585226006,0.07737363183622753
2889,I20655,F,54.170989,-0.605739,PASS,1450,1649,0.7052399057077056,-0.27722260111711045,1.0080326511301527
2890,I20658,F,54.170989,-0.605739,PASS,1450,1844,-0.01330709787693898,1.1969434249299757,0.036115047369891705
2891,I20659,F,54.170989,-0.605739,PASS,1450,1475,-0.16714918937356346,0.17806986201587183,-0.2380648559222812
2892,I20660,F,54.170989,-0.605739,PASS,1450,1675,0.9236010980796431,-0.5500540325801897,-0.04250724981868188
2893,I20661,M,54.170989,-0.605739,PASS,1450,1600,-0.4761895236341026,0.41709352567235086,-1.209983622002167
2897,I20668,F,54.170989,-0.605739,PASS,1450,1273,-1.79073059010159,2.5663467962794932,0.0791442247971295
2899,I20670,F,54.170989,-0.605739,PASS,1450,1392,0.3586776582469888,-0.2906948031299499,-1.8524224919659737
2900,I20671,M,54.170989,-0.605739,PASS,1450,1437,-0.2693726073308127,0.07331135045213205,-0.8179841747998489
2902,I20673,M,54.170989,-0.605739,PASS,1450,1432,-1.7091686197947842,0.6914499075660345,0.6254900230738074
2903,I20674,M,54.170989,-0.605739,PASS,1450,1417,1.9848321310135115,1.9478717991924681,-2.5024325048457525
2906,I20677,M,54.170989,-0.605739,PASS,1450,1783,-0.2627273676828191,0.36214757660059477,-0.1891136763588863
2907,I20678,F,54.170989,-0.605739,PASS,1450,1207,-0.6513542995042645,0.550105613197774,-1.2370002496024692
2908,I20679,M,54.170989,-0.605739,PASS,1450,1117,0.34589139917195993,1.2312465598221447,0.204341463756713
2909,I20680,F,54.170989,-0.605739,PASS,1450,1493,0.7762385291280033,1.2534900679212126,-2.44240277048235
2910,I0157,F,52.08,0.18,PASS,1227,1084,0.32863318632472416,1.9287964171537308,0.5374164499001439
2911,I0159,F,52.08,0.18,PASS,1234,1135,-0.9753840681545703,1.9347181224754904,0.4150533100065231
2912,I0161,F,52.08,0.18,PASS,1157,1791,-0.21661395893648377,0.037755369820137157,-0.7788026255250248
2914,I0769,F,52.26136,0.06869,PASS,1449,1698,0.9763669712465769,0.1383906170909404,-0.1965876231918266
2915,I0773,F,52.26136,0.06869,PASS,1479,1261,0.15857346401038552,0.6910742391180286,-0.4360237762169202
2916,I0774,F,52.26136,0.06869,PASS,1469,1593,-3.1255954684023366,1.549807641273607,1.3754040248884358
2917,I0777,F,52.26136,0.06869,PASS,1465,1476,-0.2752792765522515,-1.3155888792722379,-0.871598940430551
2919,I17268,M,54.594544,-1.309398,PASS,1200,769,-0.6993658889844913,-0.4460580472914996,-1.0153617445145737
2929,I3044,M,53.234533,-0.540804,PASS,856,1178,-0.8200686391017274,-0.8302654649418811,-1.152416833385048
2941,I20656,M,54.170989,-0.605739,PASS,1450,1359,-0.6159962936970365,0.7461081130756585,-1.3561363623535887
2950,I11033,F,53.919396,-0.766635,PASS,2421,2463,-0.4334994847921652,-1.0796445123032534,-0.936677488740615
2951,I13758,M,53.919396,-0.766635,PASS,2175,2034,0.711737736279884,-0.6981062502682825,0.9906864097091327
2952,I14107,M,53.919396,-0.766635,PASS,2175,1898,0.41043682408197363,0.6507936416593998,-0.2200648989643635
2954,I14106,F,53.919396,-0.766635,PASS,2045,1335,-0.36572833613103906,0.47973143611385355,-0.21222272981937987
2955,I22057,F,54.12647222,-0.287966667,PASS,1970,952,0.7871682446210945,0.16690913479019562,0.5418020167439349
2956,I22062,M,54.05587222,-0.307591667,PASS,1930,953,1.64471314427195,0.5426984485132814,1.0912639353414373
2957,I22064,F,54.12647222,-0.287966667,PASS,1971,1019,-0.6834883474833287,2.6380378334385997,-0.9955768025443172
2958,I5502,M,53.916717,-0.666972,PASS,2054,1397,-0.7557052817426335,-0.6062502889928776,-0.8849470571537108
2959,I12412,F,53.919396,-0.766635,PASS,2238,1100,-0.5138195146001002,1.4573035421469345,-0.5797897007135344
2960,I14100,M,53.919396,-0.766635,PASS,2302,1948,0.4390356583812275,-0.641947398768052,-0.7364503282696427
2961,I22055,F,54.12647222,-0.287966667,PASS,2237,2579,-0.24810252777349695,0.4035433773072265,-0.036731243475661465
2962,I22056,F,54.12647222,-0.287966667,PASS,2238,1059,-1.3592933084798722,-0.7276143934127204,1.055983108924977
2964,I11034,F,53.919396,-0.766635,PASS,2175,1548,0.3866425769181562,-0.4672056673157671,0.6673783899212525
