species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,group_living,brain_mass_g,adult_body_mass_g,brain_body_ratio,longevity,gestation_days,birth_weight_g,HAQER_matching_bases,HAQER_alignment_base_length,HAQER_sequence_similarity,HAR_matching_bases,HAR_alignment_base_length,HAR_sequence_similarity,HAQER_sequence_similarity_scaled,HAR_sequence_similarity_scaled,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk
Ictidomys_tridecemlineatus,Thirteen-lined ground squirrel,non_vocal_learner,0,0,NA,NA,NA,NA,NA,NA,140751,313879,44.84243928392788,515843,599129,86.09882012054165,-0.2631958520882816,0.5251182896905888,NA,NA,NA
Marmota_marmota,Alpine marmot,non_vocal_learner,0,NA,14.25,3813.65,0.3221739896252471,18,35,29.74,144306,319833,45.11917156766187,523967,608687,86.08151644441232,-0.1988572866199023,0.5191346184069342,29.74,4059.15,-0.5768136484595461
Spermophilus_dauricus,Daurian ground squirrel,non_vocal_learner,0,NA,2.75,223.8,0.1869612140567883,NA,NA,NA,144754,321684,44.998818716504395,524383,610430,85.90387104172468,-0.2268385893035629,0.457704221375088,NA,NA,NA
Xerus_inauris,Cape ground squirrel,non_vocal_learner,0,1,7.65,400,0.33960071562479255,11.5,45,20,153072,330154,46.36381809700927,529058,611157,86.56662690601597,0.09051542816744888,0.6868875003265155,20,572.6,-0.2969896168723445
Tupaia_chinensis,Northern tree shrew,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,NA,167016,336735,49.59864581941289,530548,609114,87.10159346197919,0.8425931127387662,0.871880792775329,NA,NA,NA
Antilocapra_americana,Pronghorn,non_vocal_learner,0,1,125.6,46750,0.44948346889824387,11,250,3246.36,144640,303192,47.705744214886934,517938,602108,86.02078032512439,0.4025050530273799,0.49813185748217587,3454.7,47450.01,0.959563771300237
Beatragus_hunteri,Hirola,non_vocal_learner,0,NA,NA,NA,NA,10.2,283,11050,146496,307395,47.65724881666911,517137,602033,85.8984474273005,0.39123016919000364,0.45582871667648694,8350,79132.17,1.15331923425777
Pantholops_hodgsonii,Chiru,non_vocal_learner,0,0,NA,NA,NA,45,240,NA,143409,303533,47.24659262749026,518007,603444,85.8417682502436,0.295755113818886,0.4362288604608684,NA,NA,NA
Saiga_tatarica,Steppe saiga,non_vocal_learner,0,NA,NA,NA,NA,12,152,3345.895,135045,288132,46.86914330931656,503145,596094,84.40698950165579,0.2080004531026216,-0.05992261233343416,3326.46,37734.01,1.016285096453985
Bison_bison,Bison,non_vocal_learner,0,NA,458,431500,0.4722048880769352,40,285,20000,146354,306342,47.7747093118149,520671,603555,86.26736585729552,0.41853901676974675,0.5834019906486222,20000,624577.07,0.8953635249221579
